Id,Nom,Prenom,Email,Type,PasswordHash,CreatedAt,UpdatedAt,LastLogin,IsActive,RefreshToken,RefreshTokenExpiryTime
1,Khelifi,Nadia,nadia.khelifi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
2,Jaziri,Ahmed,ahmed.jaziri@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
3,Mansouri,Karim,karim.mansouri@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
4,Bouazizi,Mohamed,mohamed.bouazizi@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
5,Trabelsi,Fatma,fatma.trabelsi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
6,Trabelsi,Sami,sami.trabelsi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
7,Jaziri,Amal,amal.jaziri@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
8,Trabelsi,Nadia,nadia.trabelsi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
9,Bouazizi,Leila,leila.bouazizi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
10,Khelifi,Sami,sami.khelifi@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
11,Mahmoudi,Omar,omar.mahmoudi@smartpromo.tn,0,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
12,Trabelsi,Ahmed,ahmed.trabelsi@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
13,Ferchichi,Sami,sami.ferchichi@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
14,Ben Ali,Amal,amal.ben ali@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
15,Ferchichi,Nadia,nadia.ferchichi@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
16,Ben Ali,Sami,sami.ben ali@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
17,Ferchichi,Karim,karim.ferchichi@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
18,Trabelsi,Leila,leila.trabelsi@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
19,Sassi,Nadia,nadia.sassi@smartpromo.tn,2,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
20,Mansouri,Fatma,fatma.mansouri@smartpromo.tn,1,hashed_password_placeholder,2025-06-16 03:36:04,2025-06-16 03:36:04,2025-06-16 03:36:04,True,,
